Name;Level;Category;Amount1;Material1;Amount2;Material2;Amount3;Material3;Amount4;Material4
#Timber
Oak Timber;Novice;Timber;1;Oak Wood;;;;;;
Corrupted Ash Log;Journeyman;Timber;2;Currupted Ash Wood;;;;;;
Corrupted Eastern Hemlock Log;Journeyman;Timber;2;Currupted Eastern Hemlock Wood;;;;;;
Corrupted Oak Log;Journeyman;Timber;2;Currupted Oak Wood;;;;;;
Corrupted Western Larch Log;Journeyman;Timber;2;Currupted Western Larch Wood;;;;;;
Ash Timber;Novice;Timber;1;Ash Wood;;;;;;
Eastern Hemlock Timber;Novice;Timber;1;Eastern Hemlock Wood;;;;;;
Western Larch Timber;Novice;Timber;1;Western Larch Wood;;;;;;
Weeping Willow Timber;Apprentice;Timber;2;Weeping Willow Wood;;;;;;
Braidwood Timber;Journeyman;Timber;2;Braidwood Wood;;;;;;
Acacia Timber;Novice;Timber;1;Acacia Wood;;;;;;
Coconut Timber;Novice;Timber;1;Coconut Wood;;;;;;
Plumeria Timber;Novice;Timber;1;Plumeria Wood;;;;;;
Dragon Tree Timber;Apprentice;Timber;2;Dragon Tree Wood;;;;;;
Date Palm Timber;Novice;Timber;1;Date Palm Wood;;;;;;
Joshua Tree Timber;Journeyman;Timber;2;Joshua Tree Wood;;;;;;
Banyan Timber;Novice;Timber;2;Banyan Wood;;;;;;
#Wood Chips
Oak Woodchips;Novice;Wood Chips;1;Oak Wood;;;;;;
Ash Woodchips;Novice;Wood Chips;1;Ash Wood;;;;;;
Eastern Hemlock Woodchips;Novice;Wood Chips;1;Eastern Hemlock Wood;;;;;;
Western Larch Woodchips;Novice;Wood Chips;1;Western Larch Wood;;;;;;
Weeping Willow Woodchips;Apprentice;Wood Chips;2;Weeping Willow Wood;;;;;;
Braidwood Woodchips;Journeyman;Wood Chips;2;Braidwood Wood;;;;;;
Banyan Woodchips;Novice;Wood Chips;1;Banyan Wood;;;;;;
Coconut Palm Woodchips;Novice;Wood Chips;1;Coconut Wood;;;;;;
Plumeria Woodchips;Novice;Wood Chips;1;Plumeria Wood;;;;;;
Acacia Woodchips;Novice;Wood Chips;1;Acacia Wood;;;;;;
Dragon Tree Woodchips;Apprentice;Wood Chips;2;Dragon Tree Wood;;;;;;
Joshua Tree Woodchips;Journeyman;Wood Chips;2;Joshua Tree Wood;;;;;;
Date Palm Woodchips;Novice;Wood Chips;1;Date Palm Wood;;;;;;
#Log
Oak Log;Apprentice;Log;2;Oak Timber;;;;;;
Ash Log;Apprentice;Log;2;Ash Timber;;;;;;
Eastern Hemlock Log;Apprentice;Log;2;Eastern Hemlock Timber;;;;;;
Western Larch Log;Apprentice;Log;2;Western Larch Timber;;;;;;
Braidwood Log;Journeyman;Log;2;Braidwood Timber;;;;;;
Dried Ash Log;Journeyman;Log;1;Bee's Wax;2;Ash Log;;;;
Dried Eastern Hemlock Log;Journeyman;Log;1;Bee's Wax;2;Eastern Hemlock Log;;;;
Dried Oak Log;Journeyman;Log;1;Bee's Wax;2;Oak Log;;;;
Dried Western Larch Log;Journeyman;Log;1;Bee's Wax;2;Western Larch Log;;;;
Dried Weeping Willow Log;Journeyman;Log;1;Bee's Wax;2;Weeping Willow Log;;;;
Dried Braidwood Log;Journeyman;Log;1;Bee's Wax;2;Braidwood Log;;;;
Weeping Willow Log;Apprentice;Log;2;Weeping Willow Timber;;;;;;
Dried Dragon Tree Log;Journeyman;Log;1;Bee's Wax;2;Dragon Tree Log;;;;
Acacia Log;Apprentice;Log;2;Acacia Timber;;;;;;
Dried Acacia Log;Journeyman;Log;1;Bee's Wax;2;Acacia Log;;;;
Dried Joshua Tree Log;Journeyman;Log;1;Bee's Wax;2;Joshua Tree Log;;;;
Dried Banyan Log;Journeyman;Log;1;Bee's Wax;2;Banyan Log;;;;
Coconut Log;Apprentice;Log;2;Coconut Timber;;;;;;
Plumeria Log;Apprentice;Log;2;Plumeria Timber;;;;;;
Dragon Tree Log;Apprentice;Log;2;Dragon Tree Timber;;;;;;
Joshua Tree Log;Journeyman;Log;2;Joshua Tree Timber;;;;;;
Banyan Log;Apprentice;Log;2;Banyan Timber;;;;;;
Date Palm Log;Apprentice;Log;2;Date Palm Timber;;;;;;
